MUNICIPIO,MUNICIPIO_2,POBLACION,AÑO
Mina,MINA,5326,2015
Montemorelos,MONTEMORELOS,60829,2015
Monterrey,MONTERREY,1109171,2015
Paras,PARAS,971,2015
Pesqueria ,PESQUERIA ,87168,2015
Rayones,RAYONES,2640,2015
Sabinas Hidalgo,SABINAS HIDALGO,35456,2015
Salinas Victoria,SALINAS VICTORIA,54192,2015
San Nicolas De Los Garza,SAN NICOLAS DE LOS GARZA,430143,2015
San Pedro Garza Garcia,SAN PEDRO GARZA GARCIA,123156,2015
Santa Catarina,SANTA CATARINA,296954,2015
Santiago,SANTIAGO,42407,2015
Vallecillo,VALLECILLO,1632,2015
Villaldama,VILLALDAMA,4080,2015
Nuevo Leon,NUEVO LEON,5119504,2016
Abasolo,ABASOLO,2639,2016
Agualeguas,AGUALEGUAS,2439,2016
Allende,ALLENDE,34353,2016
Anahuac,ANAHUAC,18194,2016
Apodaca,APODACA,597207,2016
Aramberri,ARAMBERRI,16152,2016
Bustamante,BUSTAMANTE,3977,2016
Cadereyta Jimenez,CADEREYTA JIMENEZ,95534,2016
El Carmen,EL CARMEN,38306,2016
Cerralvo,CERRALVO,7757,2016
China,CHINA,10835,2016
Cienega De Flores,CIENEGA DE FLORES,42715,2016
Dr. Arroyo,DR. ARROYO,34110,2016
Dr. Coss,DR. COSS,1632,2016
Dr. Gonzalez,DR. GONZALEZ,2861,2016
Galeana,GALEANA,41130,2016
Garcia,GARCIA,247370,2016
Gral Bravo,GRAL BRAVO,5479,2016
Gral Escobedo,GRAL ESCOBEDO,425148,2016
Gral Teran,GRAL TERAN,14795,2016
Gral Treviño,GRAL TREVIÑO,1044,2016
Zaragoza,ZARAGOZA,6011,2016
Gral Zuazua,GRAL ZUAZUA,67294,2016
Guadalupe,GUADALUPE,682880,2016
Hidalgo,HIDALGO,13836,2016
Higueras,HIGUERAS,1511,2016
Hualahuises,HUALAHUISES,6921,2016
Iturbide,ITURBIDE,3571,2016
Juarez,JUAREZ,333481,2016
Lampazos,LAMPAZOS,5238,2016
Linares,LINARES,79853,2016
Aldamas,ALDAMAS,1292,2016
Herreras,HERRERAS,1764,2016
Ramones,RAMONES,4469,2016
Marin,MARIN,5630,2016
Melchor Ocampo,MELCHOR OCAMPO,955,2016
Mier Y Noriega,MIER Y NORIEGA,6996,2016
Mina,MINA,5326,2016
Montemorelos,MONTEMORELOS,60829,2016
Monterrey,MONTERREY,1109171,2016
Paras,PARAS,971,2016
Pesqueria ,PESQUERIA ,87168,2016
Rayones,RAYONES,2640,2016
Sabinas Hidalgo,SABINAS HIDALGO,35456,2016
Salinas Victoria,SALINAS VICTORIA,54192,2016
San Nicolas De Los Garza,SAN NICOLAS DE LOS GARZA,430143,2016
San Pedro Garza Garcia,SAN PEDRO GARZA GARCIA,123156,2016
Santa Catarina,SANTA CATARINA,296954,2016
Santiago,SANTIAGO,42407,2016
Vallecillo,VALLECILLO,1632,2016
Villaldama,VILLALDAMA,4080,2016
Nuevo Leon,NUEVO LEON,5119504,2017
Abasolo,ABASOLO,2639,2017
Agualeguas,AGUALEGUAS,2439,2017
Allende,ALLENDE,34353,2017
Anahuac,ANAHUAC,18194,2017
Apodaca,APODACA,597207,2017
Aramberri,ARAMBERRI,16152,2017
Bustamante,BUSTAMANTE,3977,2017
Cadereyta Jimenez,CADEREYTA JIMENEZ,95534,2017
El Carmen,EL CARMEN,38306,2017
Cerralvo,CERRALVO,7757,2017
China,CHINA,10835,2017
Cienega De Flores,CIENEGA DE FLORES,42715,2017
Dr. Arroyo,DR. ARROYO,34110,2017
Dr. Coss,DR. COSS,1632,2017
Dr. Gonzalez,DR. GONZALEZ,2861,2017
Galeana,GALEANA,41130,2017
Garcia,GARCIA,247370,2017
Gral Bravo,GRAL BRAVO,5479,2017
Gral Escobedo,GRAL ESCOBEDO,425148,2017
Gral Teran,GRAL TERAN,14795,2017
Gral Treviño,GRAL TREVIÑO,1044,2017
Zaragoza,ZARAGOZA,6011,2017
Gral Zuazua,GRAL ZUAZUA,67294,2017
Guadalupe,GUADALUPE,682880,2017
Hidalgo,HIDALGO,13836,2017
Higueras,HIGUERAS,1511,2017
Hualahuises,HUALAHUISES,6921,2017
Iturbide,ITURBIDE,3571,2017
Juarez,JUAREZ,333481,2017
Lampazos,LAMPAZOS,5238,2017
Linares,LINARES,79853,2017
Aldamas,ALDAMAS,1292,2017
Herreras,HERRERAS,1764,2017
Ramones,RAMONES,4469,2017
Marin,MARIN,5630,2017
Melchor Ocampo,MELCHOR OCAMPO,955,2017
Mier Y Noriega,MIER Y NORIEGA,6996,2017
Mina,MINA,5326,2017
Montemorelos,MONTEMORELOS,60829,2017
Monterrey,MONTERREY,1109171,2017
Paras,PARAS,971,2017
Pesqueria ,PESQUERIA ,87168,2017
Rayones,RAYONES,2640,2017
Sabinas Hidalgo,SABINAS HIDALGO,35456,2017
Salinas Victoria,SALINAS VICTORIA,54192,2017
San Nicolas De Los Garza,SAN NICOLAS DE LOS GARZA,430143,2017
San Pedro Garza Garcia,SAN PEDRO GARZA GARCIA,123156,2017
Santa Catarina,SANTA CATARINA,296954,2017
Santiago,SANTIAGO,42407,2017
Vallecillo,VALLECILLO,1632,2017
Villaldama,VILLALDAMA,4080,2017
Nuevo Leon,NUEVO LEON,5119504,2018
Abasolo,ABASOLO,2639,2018
Agualeguas,AGUALEGUAS,2439,2018
Allende,ALLENDE,34353,2018
Anahuac,ANAHUAC,18194,2018
Apodaca,APODACA,597207,2018
Aramberri,ARAMBERRI,16152,2018
Bustamante,BUSTAMANTE,3977,2018
Cadereyta Jimenez,CADEREYTA JIMENEZ,95534,2018
El Carmen,EL CARMEN,38306,2018
Cerralvo,CERRALVO,7757,2018
China,CHINA,10835,2018
Cienega De Flores,CIENEGA DE FLORES,42715,2018
Dr. Arroyo,DR. ARROYO,34110,2018
Dr. Coss,DR. COSS,1632,2018
Dr. Gonzalez,DR. GONZALEZ,2861,2018
Galeana,GALEANA,41130,2018
Garcia,GARCIA,247370,2018
Gral Bravo,GRAL BRAVO,5479,2018
Gral Escobedo,GRAL ESCOBEDO,425148,2018
Gral Teran,GRAL TERAN,14795,2018
Gral Treviño,GRAL TREVIÑO,1044,2018
Zaragoza,ZARAGOZA,6011,2018
Gral Zuazua,GRAL ZUAZUA,67294,2018
Guadalupe,GUADALUPE,682880,2018
Hidalgo,HIDALGO,13836,2018
Higueras,HIGUERAS,1511,2018
Hualahuises,HUALAHUISES,6921,2018
Iturbide,ITURBIDE,3571,2018
Juarez,JUAREZ,333481,2018
Lampazos,LAMPAZOS,5238,2018
Linares,LINARES,79853,2018
Aldamas,ALDAMAS,1292,2018
Herreras,HERRERAS,1764,2018
Ramones,RAMONES,4469,2018
Marin,MARIN,5630,2018
Melchor Ocampo,MELCHOR OCAMPO,955,2018
Mier Y Noriega,MIER Y NORIEGA,6996,2018
Mina,MINA,5326,2018
Montemorelos,MONTEMORELOS,60829,2018
Monterrey,MONTERREY,1109171,2018
Paras,PARAS,971,2018
Pesqueria ,PESQUERIA ,87168,2018
Rayones,RAYONES,2640,2018
Sabinas Hidalgo,SABINAS HIDALGO,35456,2018
Salinas Victoria,SALINAS VICTORIA,54192,2018
San Nicolas De Los Garza,SAN NICOLAS DE LOS GARZA,430143,2018
San Pedro Garza Garcia,SAN PEDRO GARZA GARCIA,123156,2018
Santa Catarina,SANTA CATARINA,296954,2018
Santiago,SANTIAGO,42407,2018
Vallecillo,VALLECILLO,1632,2018
Villaldama,VILLALDAMA,4080,2018
Nuevo Leon,NUEVO LEON,5119504,2019
Abasolo,ABASOLO,2639,2019
Agualeguas,AGUALEGUAS,2439,2019
Allende,ALLENDE,34353,2019
Anahuac,ANAHUAC,18194,2019
Apodaca,APODACA,597207,2019
Aramberri,ARAMBERRI,16152,2019
Bustamante,BUSTAMANTE,3977,2019
Cadereyta Jimenez,CADEREYTA JIMENEZ,95534,2019
El Carmen,EL CARMEN,38306,2019
Cerralvo,CERRALVO,7757,2019
China,CHINA,10835,2019
Cienega De Flores,CIENEGA DE FLORES,42715,2019
Dr. Arroyo,DR. ARROYO,34110,2019
Dr. Coss,DR. COSS,1632,2019
Dr. Gonzalez,DR. GONZALEZ,2861,2019
Galeana,GALEANA,41130,2019
Garcia,GARCIA,247370,2019
Gral Bravo,GRAL BRAVO,5479,2019
Gral Escobedo,GRAL ESCOBEDO,425148,2019
Gral Teran,GRAL TERAN,14795,2019
Gral Treviño,GRAL TREVIÑO,1044,2019
Zaragoza,ZARAGOZA,6011,2019
Gral Zuazua,GRAL ZUAZUA,67294,2019
Guadalupe,GUADALUPE,682880,2019
Hidalgo,HIDALGO,13836,2019
Higueras,HIGUERAS,1511,2019
Hualahuises,HUALAHUISES,6921,2019
Iturbide,ITURBIDE,3571,2019
Juarez,JUAREZ,333481,2019
Lampazos,LAMPAZOS,5238,2019
Linares,LINARES,79853,2019
Aldamas,ALDAMAS,1292,2019
Herreras,HERRERAS,1764,2019
Ramones,RAMONES,4469,2019
Marin,MARIN,5630,2019
Melchor Ocampo,MELCHOR OCAMPO,955,2019
