id,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,localidad,latitud,longitud
3041889,JARDÍN DE NIÑOS MARIA DEL CARMEN VALDEZ GARZA TURNO VESPERTINO,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Monterrey                                                                                                     ,25.78375899,-100.3971245
2924370,JARDIN DE NIÑOS MARIA DOMINGUEZ DE CUEVA,SECRETARIA DE EDUCACION PUBLICA CON CLAVE 19EJN0114F ,611112,Escuelas de educación preescolar del sector público,11 a 30 personas,Hidalgo                                                                                                       ,25.9759154,-100.4452434
2920057,JARDIN DE NIÑOS MARIA E LUEVANO ARELLANO UNICO TURNO,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,García                                                                                                        ,25.81015368,-100.5966023
3007960,JARDÍN DE NIÑOS MARIA ELENA CHANES,SECRETARIA DE ESDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,11 a 30 personas,Anáhuac                                                                                                       ,27.24453681,-100.13215
2931857,JARDIN DE NIÑOS MARIA ENRIQUETA CAMARILLO,DE LA SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Guadalupe                                                                                                     ,25.66470358,-100.2045415
3055045,JARDIN DE NIÑOS MARIA ESTHER ZUNO DE ECHEVERRIA 19EJN0266K,SECRETARIA DE EDUCACION PUBLICA DEL ESTADO DE NUEVO LEON ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Guadalupe                                                                                                     ,25.6657465,-100.2133985
3036871,JARDIN DE NIÑOS MARIA GUADALUPE CANTU DE ANDAVESPERTINO,,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Monterrey                                                                                                     ,25.79544437,-100.3871206
3050545,JARDIN DE NIÑOS MARIA GUADALUPE GARZA INGRAM,,611111,Escuelas de educación preescolar del sector privado,6 a 10 personas,Monterrey                                                                                                     ,25.73322638,-100.3728025
3038356,JARDIN DE NIÑOS MARIA HERNANDEZ ZARCO T V,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,11 a 30 personas,Loma la Paz                                                                                                   ,25.71506564,-100.1306397
3038355,JARDIN DE NIÑOS MARIA HERNANDEZ ZARCO TURNO MATUTINO,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Loma la Paz                                                                                                   ,25.71548402,-100.1305782
2925787,JARDIN DE NIÑOS MARIA ISABEL TREVIÑO URRUTIA,,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Mission                                                                                                       ,25.95531498,-100.3131236
2940614,JARDIN DE NIÑOS MARIA ISABEL TREVIÑO URRUTIA TURNO VESPERTINO,SECRETARÍA DE EDUCACIÓN ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Mission                                                                                                       ,25.95530808,-100.3131207
3035943,JARDIN DE NIÑOS MARIA JOSE IZQUIERDO,SECRETARIA DE EDUCACION 19DJN2156T CLAVE ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,San Nicolás de los Garza                                                                                      ,25.71658064,-100.2760798
3046184,JARDIN DE NIÑOS MARIA JOSE IZQUIERDO,JARDIN DENIÑOS MARIA JOSE IZQUIERDO ,611112,Escuelas de educación preescolar del sector público,11 a 30 personas,Ciudad Apodaca                                                                                                ,25.76005909,-100.1503001
3046186,JARDIN DE NIÑOS MARIA JOSE IZQUIERDO VESPERTINO,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611112,Escuelas de educación preescolar del sector público,11 a 30 personas,Ciudad Apodaca                                                                                                ,25.76005758,-100.1503034
2920068,JARDÍN DE NIÑOS MARIA LAVALLE URBINA,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,García                                                                                                        ,25.80508628,-100.6332961
3012564,JARDIN DE NIÑOS MARIA LUISA GARZA GARZA 19EJN0480B TURNO MATUTINO,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Ciudad Benito Juárez                                                                                          ,25.65141245,-100.1536664
3023328,JARDIN DE NIÑOS MARIA MAZZARELLO,,611111,Escuelas de educación preescolar del sector privado,0 a 5 personas,San Nicolás de los Garza                                                                                      ,25.75204168,-100.2546495
2985971,JARDIN DE NIÑOS MARIA MONRESSORI,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Guadalupe                                                                                                     ,25.65529145,-100.1671875
2985970,JARDIN DE NIÑOS MARIA MONTESSORI,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Guadalupe                                                                                                     ,25.65529693,-100.1671863
2934575,JARDIN DE NIÑOS MARIA PAULA HERRERA TURNO VESPERTINO,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Ciudad General Escobedo                                                                                       ,25.794755,-100.3330236
3026086,JARDIN DE NIÑOS MARIA R DE CANAVATI,JARDIN DE NIÑOS MARIA R DE CANAVATI ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Monterrey                                                                                                     ,25.67936135,-100.3620998
3029409,JARDIN DE NIÑOS MARIA TERESA VILLAREAL MARTINEZ,,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,San Nicolás de los Garza                                                                                      ,25.73683034,-100.2193641
3049813,JARDIN DE NIÑOS MARIA VALDEZ,CIUDAD DE LOS NIÑOS DE MONTERREY ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Monterrey                                                                                                     ,25.75119518,-100.3427937
3032667,JARDIN DE NIÑOS MARIA VALDEZ,SECRETARÍA DE EDUCACIÓN ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,San Nicolás de los Garza                                                                                      ,25.71313365,-100.2446478
3004641,JARDÍN DE NIÑOS MARIA VALDEZ MORALESTURNO VESPERTINO,SEP ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Monclova Primer Sector                                                                                        ,25.81452118,-100.4021977
3030371,JARDIN DE NIÑOS MARIANA RODRIGUEZ DEL TORO,SEP ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,San Nicolás de los Garza                                                                                      ,25.72430551,-100.2420777
3039521,JARDIN DE NIÑOS MARIANO ARISTA MATUTINO,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Ciudad Apodaca                                                                                                ,25.72889106,-100.157364
3039522,JARDIN DE NIÑOS MARIANO ARISTA TV,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Ciudad Apodaca                                                                                                ,25.72889034,-100.1573694
3053893,JARDIN DE NIÑOS MARIANO AZUELA,JARDIN DE NIÑOS MARIANO AZUELA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Doctor González                                                                                               ,25.85935563,-99.94499054
3046457,JARDIN DE NIÑOS MARIANO DE ABASOLO,EL GOBIERNO DEL ESTADO DE NUEVO LEÓN ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Ciudad Apodaca                                                                                                ,25.73982748,-100.1921833
